cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
61,6.813928,31.738548,1.44162500000E+02,4.84669400000E+01,144.1640017,48.4685497,0.2582,0.3503,-0.1606,14.588,0.090,12.0,1.5790E+00,14.720,0.432,2.5,5.5550E-01,1,0,0000,AC,10,58215.55077590,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.814170,37.923884,1.44162500000E+02,4.84669400000E+01,144.1642546,48.4684331,0.3450,0.5007,0.1447,15.270,0.133,8.2,4.4420E-01,15.462,0.492,2.2,4.9620E-01,1,0,0000,BC,10,57491.42472760,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.814779,33.369830,1.44162500000E+02,4.84669400000E+01,144.1640704,48.4685209,0.3267,0.3234,-0.0933,14.958,0.098,11.1,7.6410E-01,15.150,0.397,2.7,4.7030E-01,1,0,0000,AC,10,56774.18771889,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.819965,42.244550,1.44162500000E+02,4.84669400000E+01,144.1644209,48.4683424,0.2880,0.3430,-0.0408,15.046,0.099,11.0,1.0580E+00,14.854,null,1.0,3.8110E-01,1,0,0000,AU,10,58059.00359285,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.824836,41.043926,1.44162500000E+02,4.84669400000E+01,144.1643775,48.4683698,0.2269,0.2639,-0.0711,14.731,0.077,14.0,1.1350E+00,14.690,0.322,3.4,5.1110E-01,1,0,0000,AB,10,57492.01443233,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.831144,35.197558,1.44162500000E+02,4.84669400000E+01,144.1641496,48.4684906,0.2994,0.3342,-0.1269,14.906,0.095,11.4,7.4640E-01,14.874,0.391,2.8,1.0360E+00,1,0,0000,AC,10,58422.02747927,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.832408,32.866452,1.44162500000E+02,4.84669400000E+01,144.1640534,48.4685341,0.3511,0.4187,-0.1365,15.171,0.123,8.8,9.7930E-01,15.165,0.426,2.5,5.2290E-01,1,0,0000,BC,10,57138.71831213,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.835485,33.528773,1.44162500000E+02,4.84669400000E+01,144.1640818,48.4685228,0.2860,0.3097,-0.0915,15.042,0.096,11.3,1.1900E+00,14.827,0.324,3.4,8.4710E-01,1,0,0000,AB,10,56773.92451096,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
61,6.837776,-50.988293,1.44162500000E+02,4.84669400000E+01,144.1602741,48.4681356,1.3978,1.3497,-0.4722,16.635,null,1.1,1.0860E+00,14.461,0.383,2.8,6.4650E-01,1,0,0000,UC,5,57494.43908531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
61,6.844222,36.966501,1.44162500000E+02,4.84669400000E+01,144.1642243,48.4684590,0.3170,0.3518,-0.1310,14.795,0.096,11.3,1.1380E+00,14.941,null,0.1,3.8760E-01,1,0,0000,AU,10,58422.42006204,1439148401351031353,14.921,0.033,14.853,0.063,12.022,0.313,8.089,0.216,911272127,16.541,0.1575,15.413,null,15.446,0.1963
